Portal_Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered,NIL_numeric,Ratings_Rank,Team,OBPR,DBPR,BPR,Poss,Box_OBPR,Box_DBPR,Box_BPR,Adj_Team_Off_Eff,Adj_Team_Def_Eff,Adj_Team_Eff_Margin,DBPR_score,OBPR_score,BPR_score,COMP_score,composite_score,score_source,tier
,Joseph Pinion,SG,SR,6-6,180.0,"Morrilton, AR",,90.50,,4/20/2026,,178.0,South Florida,3.8,1.75,5.54,1852.0,4.11,0.88,4.99,115.6,96.8,18.9,66.5144596651446,77.42257742257743,76.24398073836275,74.46483180428133,72.37994914001695,Full Metrics,Tier 1
,Mason Blackwood,SF,FR,6-7,210.0,"Rochester, NY",,90.47,,4/06/2026,,2612.0,Penn State,-0.33,-1.69,-2.02,508.0,-1.1,-0.63,-1.73,108.6,119.4,-10.8,14.155251141552515,36.163836163836166,15.56982343499197,29.051987767584095,22.174822349716056,Full Metrics,Tier 1
,Josh Hill,PF,SO,6-11,180.0,"Marietta, GA",,90.16,,4/21/2026,,2757.0,Robert Morris,-2.16,-0.48,-2.65,571.0,-2.7,0.01,-2.68,102.9,111.7,-8.8,32.57229832572298,17.882117882117882,10.513643659711075,32.11009174311926,24.418691294228765,Full Metrics,Tier 1
,Josiah Harris,PF,SR,6-7,200.0,"Cleveland, OH",,89.76,,4/13/2026,,2094.0,Cleveland State,0.81,-1.45,-0.64,1013.0,0.69,-0.1,0.59,106.6,123.3,-16.7,17.808219178082194,47.55244755244756,26.645264847512035,20.03058103975535,27.345039684810477,Full Metrics,Tier 1
,Dasonte Bowen,PG,SR,6-3,165.0,"Worcester, MA",,89.74,Expected,,,1040.0,Saint Bonaventure,1.69,0.07,1.76,1900.0,1.94,0.08,2.02,111.0,107.5,3.5,40.94368340943684,56.34365634365635,45.90690208667736,50.917431192660544,47.28238254592338,Full Metrics,Tier 1
,Mari Jordan,SG,JR,6-6,185.0,"Dacula, GA",,89.47,,4/09/2026,,1766.0,Radford,0.21,-0.15,0.05,674.0,0.69,-0.06,0.63,103.2,111.5,-8.2,37.595129375951295,41.558441558441565,32.18298555377207,33.027522935779814,36.81838769111229,Full Metrics,Tier 1
,Jeremiah Johnson,SG,SO,6-3,170.0,"Oklahoma City, OK",,89.41,,3/20/2026,,787.0,Campbell,3.07,-0.51,2.55,1512.0,2.51,-0.54,1.98,112.1,110.5,1.6,32.115677321156774,70.12987012987014,52.247191011235955,48.01223241590213,48.030011525562756,Full Metrics,Tier 1
,Josh Reed,SG,SR,6-6,195.0,"Atlanta, GA",,89.35,,4/14/2026,,937.0,Penn State,2.03,0.05,2.08,1519.0,2.45,0.91,3.36,110.0,111.2,-1.3,40.6392694063927,59.740259740259745,48.47512038523274,43.57798165137614,47.422494022374984,Full Metrics,Tier 1
,MJ Collins,SG,SR,6-4,190.0,"Rock Hill, SC",,$482K,,4/08/2026,,177.0,Utah State,4.78,0.77,5.55,1876.0,4.84,-0.1,4.73,122.7,97.1,25.5,51.59817351598174,87.21278721278722,76.32423756019261,84.55657492354739,70.39079996016014,Full Metrics,Tier 1
,Caden Diggs,SF,SO,6-7,180.0,"Washington, DC",,86.67,,4/08/2026,,1671.0,UMBC,0.07,0.19,0.26,1166.0,-0.56,-0.93,-1.49,107.0,105.1,1.9,42.77016742770168,40.159840159840165,33.86837881219903,48.47094801223241,41.19234497531538,Full Metrics,Tier 1
